식품코드,식품명,식품대분류코드,식품중량,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg)
2207370000000635,오레오 스무디,20,591,412,53.1,5.4,13.5,45.1,0,126
2207370000000585,블루베리 스무디,20,400,198,42,2.4,0,42,0,24
2207370000000525,망고 스무디,20,400,235,60,1,0,53,0,40
2207370000000537,민트초코 스무디,20,591,480,69,9,10,69,0,180
2207370000000445,그린티 스무디,20,591,452,0,1,0,32,0,193
2207370000000252,애플망고 스무디,20,354,258.42,49,1,0,48.99,0,14.16
2207370000000203,복숭아 스무디,20,355,301,65,0.28,0,42.99,0,0
2207370000000205,복숭아 요거트 스무디,20,360,378,78,6.01,6,78.01,0,97.2
2207370000000129,망고 요거트 스무디,20,360,381.6,0,6.01,0,74.99,0,97.2
2207370000000723,쿠키 프라페,20,450,539,35,8.98,15,5,0,193.4
2207370000000678,초코 프라페,20,473,619,95,12,5,95,0,421
2207370000000659,자바칩,20,450,531,88.32,9.08,15.93,56.25,0,190
2207370000000538,민트초코칩,20,115,259,26,4,10,23,0,81
2207370000000446,그린티 프라페,20,450,519,96.4,6.78,18.64,64.2,0,118
1000000047,카라멜 프라페,20,420,335,38,9,2.3,38,0,270
1000000048,스트로베리 초콜릿 프라페,20,423,480,63,11,11,63,0,150
1000000049,망고 프라페,20,420,305,56,2,1.3,56,0,45
2207370000000687,망고 후르츠 블렌디드,20,440,120,25,1.1,0,25,0,74.8
2207370000000688,망고 바나나 블렌디드,20,480,290,58,4,2.7,45,0,130
2207370000000689,딸기 블렌디드,20,440,118,29,0.4,0,26,0,15
2207370000000372,피치 요거트 블렌디드,20,415,240,53,2,1.7,36,0,78
1000000050,자몽 셔벗 블렌디드,20,336,225,51,1,0,51,0,15
1000000051,애플망고 요거트 블렌디드,20,355,240,47,8,1,30,0,130
1000000052,딸기 모히또,20,225,217,24.94,0.14,0.04,23.47,0.5,30
1000000053,모히또,20,225,217,24.94,0.14,0.04,23.47,0.5,30
2207180000000005,스파클링 모히또,20,333,145,36,2,0,36,0,15
2207180000000006,청포도 모히또,20,333,217,52,0.5,0,51.69,0,15
2207160000000162,오렌지 주스,20,300,112,25.79,1.74,0.5,20.83,0.5,2
2207160000000164,자몽 주스,20,200,94,22.13,1.28,0.25,21.88,0.2,2
2207160000000171,청포도 주스,20,160,89,21,0.6,0.3,21,0,7
1000000054,포도 주스,20,200,154,37.85,1.42,0.2,37.6,0.3,8
2207160000000176,키위 주스,20,250,224,52,0,1.2,34,0,4.2
2207160000000179,토마토 주스,20,200,41,10.3,1.85,0.12,8.65,1,654
2207160000000142,수박 주스,20,200,30,7.61,0.61,0.15,6.25,0.4,1
2207160000000144,망고 주스,20,250,145,36,1,0,27,0,25
2207160000000152,블루베리 주스,20,240,137,34.21,0,0.25,30.03,0,5
2207160000000128,파인애플 주스,20,200,132,32.18,0.99,0.3,24.95,0.5,5
2207160000000139,딸기 주스,20,190,110,27,2.02,0.6,25,0,30
2207160000000059,사과 주스,20,200,117,28.97,0.15,0.27,27.03,0,7
